android.app.IActivityManager, com.android.server.am.ActivityManagerService
android.app.AppOpsManager, android.app.AppOpsManager
android.util.SparseArray, android.util.SparseArray
boolean, boolean
int[], int[]
int, int
java.lang.Object[], java.lang.Object[]
java.lang.Object, java.lang.Object
android.content.Context, android.app.ContextImpl
android.os.IBinder, com.android.server.am.UriPermissionOwner$ExternalToken
android.content.pm.PackageManager, android.app.ApplicationPackageManager
android.os.IUserManager, com.android.server.pm.UserManagerService
java.lang.String, java.lang.String
android.app.AppOpsManager, android.app.AppOpsManager
android.util.SparseArray, android.util.SparseArray
boolean, boolean
int[], int[]
int, int
java.lang.Object[], java.lang.Object[]
java.lang.Object, java.lang.Object
android.content.Context, android.app.ContextImpl
android.os.IBinder, com.android.server.am.UriPermissionOwner$ExternalToken
android.content.pm.PackageManager, android.app.ApplicationPackageManager
android.os.IUserManager, com.android.server.pm.UserManagerService
java.lang.String, java.lang.String
com.android.server.AlarmManagerService, com.android.server.AlarmManagerService
com.android.server.AlarmManagerService, com.android.server.AlarmManagerService
com.android.server.AlarmManagerService, com.android.server.AlarmManagerService
android.app.AppOpsManager, android.app.AppOpsManager
android.util.SparseArray, android.util.SparseArray
boolean, boolean
int[], int[]
int, int
java.lang.Object[], java.lang.Object[]
java.util.HashSet, java.util.HashSet
java.util.HashMap, java.util.HashMap
java.util.HashMap$HashMapEntry[], java.util.HashMap$HashMapEntry[]
float, float
java.util.Map$Entry[], java.util.HashMap$HashMapEntry[]
java.io.ObjectStreamField[], java.io.ObjectStreamField[]
java.lang.String, java.lang.String
java.lang.Object, java.lang.Class
long, long
android.content.ClipData, android.content.ClipData
android.content.ClipDescription, android.content.ClipDescription
java.lang.CharSequence, java.lang.String
java.lang.String[], java.lang.String[]
android.os.Parcelable$Creator, android.content.ClipDescription$1
java.util.ArrayList, java.util.ArrayList
android.os.Parcelable$Creator, android.content.ClipData$1
android.os.RemoteCallbackList, android.os.RemoteCallbackList
android.util.ArrayMap, android.util.ArrayMap
com.android.server.clipboard.ClipboardService, com.android.server.clipboard.ClipboardService
java.lang.Object, java.lang.Object
java.lang.Class, java.lang.Class
android.content.Context, android.app.ContextImpl
android.os.IBinder, com.android.server.am.UriPermissionOwner$ExternalToken
android.content.pm.PackageManager, android.app.ApplicationPackageManager
android.os.IUserManager, com.android.server.pm.UserManagerService
android.app.AppOpsManager, android.app.AppOpsManager
android.util.SparseArray, android.util.SparseArray
boolean, boolean
int[], int[]
int, int
java.lang.Object[], java.lang.Object[]
java.util.HashSet, java.util.HashSet
java.util.HashMap, java.util.HashMap
java.util.HashMap$HashMapEntry[], java.util.HashMap$HashMapEntry[]
float, float
java.util.Map$Entry[], java.util.HashMap$HashMapEntry[]
java.io.ObjectStreamField[], java.io.ObjectStreamField[]
java.lang.String, java.lang.String
java.lang.Object, java.lang.Class
long, long
android.content.ClipData, android.content.ClipData
android.content.ClipDescription, android.content.ClipDescription
java.lang.CharSequence, java.lang.String
java.lang.String[], java.lang.String[]
android.os.Parcelable$Creator, android.content.ClipDescription$1
java.util.ArrayList, java.util.ArrayList
android.os.Parcelable$Creator, android.content.ClipData$1
android.os.RemoteCallbackList, android.os.RemoteCallbackList
android.util.ArrayMap, android.util.ArrayMap
com.android.server.clipboard.ClipboardService, com.android.server.clipboard.ClipboardService
java.lang.Object, java.lang.Object
java.lang.Class, java.lang.Class
android.content.Context, android.app.ContextImpl
android.os.IBinder, com.android.server.am.UriPermissionOwner$ExternalToken
android.content.pm.PackageManager, android.app.ApplicationPackageManager
android.os.IUserManager, com.android.server.pm.UserManagerService
android.app.AppOpsManager, android.app.AppOpsManager
android.util.SparseArray, android.util.SparseArray
boolean, boolean
int[], int[]
int, int
java.lang.Object[], java.lang.Object[]
java.lang.Object, java.lang.Object
java.lang.Class, java.lang.Class
android.content.Context, android.app.ContextImpl
android.os.IBinder, com.android.server.am.UriPermissionOwner$ExternalToken
android.content.pm.PackageManager, android.app.ApplicationPackageManager
android.os.IUserManager, com.android.server.pm.UserManagerService
java.lang.String, java.lang.String
android.app.AppOpsManager, android.app.AppOpsManager
android.util.SparseArray, android.util.SparseArray
boolean, boolean
int[], int[]
int, int
java.lang.Object[], java.lang.Object[]
java.util.HashSet, java.util.HashSet
java.util.HashMap, java.util.HashMap
java.util.HashMap$HashMapEntry[], java.util.HashMap$HashMapEntry[]
float, float
